No,Name,Type,Race1,Race2,COST,Rare,MaxLv,HP,ATK
1,アカネ,炎,人間,,2,3,5,152,77
2,甲士アカネ,炎,人間,,4,4,15,498,240
3,炎甲士アカネ,炎,人間,,6,5,35,979,516
4,火炎甲士アカネ,炎,人間,,10,6,99,2147,806
5,アオト,水,人間,,2,3,5,167,69
6,刀士アオト,水,人間,,4,4,15,528,235
7,水刀士アオト,水,人間,,6,5,35,1007,480
8,流水刀士アオト,水,人間,,10,6,99,2390,967
9,ミドリ,風,人間,,2,3,5,162,62
10,棍士ミドリ,風,人間,,4,4,15,560,217
11,風棍士ミドリ,風,人間,,6,5,35,1017,470
12,疾風棍士ミドリ,風,人間,,10,6,99,2198,945
13,ヒカリ,光,人間,,2,3,5,144,73
14,剣士ヒカリ,光,人間,,4,4,15,461,222
15,光剣士ヒカリ,光,人間,,6,5,35,930,490
16,閃光剣士ヒカリ,光,人間,,10,6,99,2669,1032
17,ユカリ,闇,人間,,2,3,5,138,81
18,鎌士ユカリ,闇,人間,,4,4,15,457,244
19,闇鎌士ユカリ,闇,人間,,6,5,35,963,502
20,常闇鎌士ユカリ,闇,人間,,10,6,99,2114,1052
21,ギンジ,無,人間,,2,3,5,159,68
22,斧士ギンジ,無,人間,,4,4,15,501,224
23,無斧士ギンジ,無,人間,,6,5,35,974,494
24,絶無斧士ギンジ,無,人間,,10,6,99,2015,925
25,レヴァ,炎,竜,,2,3,15,248,154
26,レーヴァン,炎,竜,,5,4,25,547,304
27,レーヴァティン,炎,竜,,11,5,70,1414,866
28,レーヴァティン：プロト,炎,竜,,15,6,99,2384,1145
29,フロス,水,竜,,2,3,15,317,130
30,フロスト,水,竜,,5,4,25,633,273
31,フロッティ,水,竜,,11,5,70,1535,804
32,フロッティ：プロト,水,竜,,15,6,99,2562,1143
33,ミスト,風,竜,,2,3,15,301,145
34,ミスティル,風,竜,,5,4,25,604,300
35,ミスティルテイン,風,竜,,11,5,70,1512,818
36,ミスティルテイン：プロト,風,竜,,15,6,99,2520,1128
37,グーン,光,竜,,2,3,15,258,130
38,グング,光,竜,,5,4,25,564,290
39,グングニル,光,竜,,11,5,70,1448,833
40,グングニル：プロト,光,竜,,15,6,99,2398,1142
41,ダーン,闇,竜,,2,3,15,279,168
42,ダーイン,闇,竜,,5,4,25,570,314
43,ダインスレイヴ,闇,竜,,11,5,70,1474,846
44,ダインスレイヴ：プロト,闇,竜,,15,6,99,2441,1123
45,ティル,無,竜,,2,3,15,282,149
46,ティルファ,無,竜,,5,4,25,584,297
47,ティルファング,無,竜,,11,5,70,1473,839
48,ティルファング：プロト,無,竜,,15,6,99,2454,1150
49,アカリウム,炎,魔物,,1,1,10,205,110
50,フレイリウム,炎,魔物,,3,2,30,485,327
51,アオリウム,水,魔物,,1,1,10,219,95
52,ウォタリウム,水,魔物,,3,2,30,528,302
53,ミドリウム,風,魔物,,1,1,10,215,98
54,ウィンドリウム,風,魔物,,3,2,30,513,318
55,ピカリウム,光,魔物,,1,1,10,204,99
56,シャイリウム,光,魔物,,3,2,30,490,310
57,ヤミリウム,闇,魔物,,1,1,10,209,113
58,ダクリウム,闇,魔物,,3,2,30,510,322
59,ムリウム,無,魔物,,1,1,10,205,101
60,ムムリウム,無,魔物,,3,2,30,500,319
