No,Unit'sName,Name1,Type1,P11,P21,P31,P41,P51,Tage1,Lev1,Crt1,Boost1,Detail1,Name2,Type2,P12,P22,P32,P42,P52,Tage2,Lev2,Crt2,Boost2,Detail2
1,アカネ,イグナイト,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
2,甲士アカネ,イグナイト：セカンド,炎,炎,炎,,,,単体,中,,,,メギド・フレイム,炎,炎,炎,炎,炎,炎,全体,小,,,
3,炎甲士アカネ,イグナイト：サード,炎,炎,炎,,,,単体,大,,,,メギド・フレイム,炎,炎,炎,炎,炎,炎,全体,小,,,
4,火炎甲士アカネ,イグナイト：ホムラ,炎,炎,炎,,,,単体,大,,,,メギド・インフェルノ,炎,炎,炎,炎,炎,炎,全体,小,,,
5,アオト,ワダツミ,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
6,刀士アオト,ワダツミ：弐式,水,水,水,,,,単体,小,,,,モーメント・ゼロ,水,水,水,水,水,水,全体,小,,,
7,水刀士アオト,ワダツミ：参式,水,水,水,,,,単体,中,,,,モーメント・ゼロ,水,水,水,水,水,水,全体,小,,,
8,流水刀士アオト,ワダツミ：マブイ,水,水,水,,,,単体,中,,,,アブソリュート・ゼロ,水,水,水,水,水,水,全体,大,,,
9,ミドリ,フォンシェン,風,風,風,,,,単体,小,,,,,,,,,,,,,,,
10,棍士ミドリ,アル：フォンシェン,風,風,風,,,,単体,小,,,,エアリアル・ドライブ,風,風,風,風,風,風,全体,中,,,
11,風棍士ミドリ,サン：フォンシェン,風,風,風,,,,単体,小,,,,エアリアル・ドライブ,風,風,風,風,風,風,全体,中,,,
12,疾風棍士ミドリ,フォンシェン：カグラ,風,風,風,,,,単体,中,,,,エアリアル・ドラゴン,風,風,風,風,風,風,全体,特大,,,
13,ヒカリ,リュミエール,光,光,光,,,,単体,小,,,,,,,,,,,,,,,
14,剣士ヒカリ,リュミエール：ドゥ,光,光,光,,,,単体,小,,,,ホーリィ・サンセット,光,光,光,光,光,光,全体,小,,,
15,光剣士ヒカリ,リュミエール：トロワ,光,光,光,,,,単体,中,,,,ホーリィ・サンセット,光,光,光,光,光,光,全体,小,,,
16,閃光剣士ヒカリ,リュミエール：ナユタ,光,光,光,,,,単体,中,,,,ホーリィ・サンライズ,光,光,光,光,光,光,全体,大,,,
17,ユカリ,アビス,闇,闇,闇,,,,単体,小,,,,,,,,,,,,,,,
18,鎌士ユカリ,アビス：セカンド,闇,闇,闇,,,,単体,小,,,,ナイトメア・パレード,闇,闇,闇,闇,闇,闇,全体,中,,,
19,闇鎌士ユカリ,アビス；サード,闇,闇,闇,,,,単体,小,,,,ナイトメア・パレード,闇,闇,闇,闇,闇,闇,全体,中,,,
20,常闇鎌士ユカリ,アビス：オロチ,闇,闇,闇,,,,単体,中,,,,ナイトメア・サーカス,闇,闇,闇,闇,闇,闇,全体,特大,,,
21,ギンジ,ヤシャヒメ,無,無,無,,,,単体,小,,,,,,,,,,,,,,,
22,斧士ギンジ,ヤシャヒメ：弐式,無,無,無,,,,単体,中,,,,ストラグル・ヴェイン,無,無,無,無,無,無,全体,小,,,
23,無斧士ギンジ,ヤシャヒメ：参式,無,無,無,,,,単体,大,,,,ストラグル・ヴェイン,無,無,無,無,無,無,全体,小,,,
24,絶無斧士ギンジ,ヤシャヒメ：ミヤビ,無,無,無,,,,単体,大,,,,ストラグル・ヴァニタス,無,無,無,無,無,無,全体,小,,,
25,レヴァ,ファイアボール,炎,炎,炎,,,,単体,小,,,,,,,,,,,,,,,
26,レーヴァン,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
27,レーヴァティン,ファイアボール,炎,炎,炎,,,,単体,小,,,,ファイアラッシュ,炎,炎,炎,炎,炎,炎,全体,中,,,
28,レーヴァティン：プロト,ファイアブロウ,炎,炎,炎,炎,,,単体,中,,,,ファイアストーム,炎,炎,炎,炎,炎,炎,全体,特大,,,
29,フロス,アクアボール,水,水,水,,,,単体,小,,,,,,,,,,,,,,,
